name,description,latitude,longitude
"KFC-Huntington Park,CA",,33.98063,-118.21244
"KFC-Imperial Beach,CA",,32.57729,-117.10585
"KFC-Indio,CA",,33.74479,-116.30363
"KFC-Indio,CA",,33.711,-116.23823
"KFC-Inglewood,CA",,33.96013,-118.32668
"KFC-Inglewood,CA",,33.93118,-118.32578
"KFC-Irvine,CA",,33.65072,-117.84133
"KFC-Irvine,CA",,33.69433,-117.79849
"KFC-Irvine,CA",,33.68359,-117.84882
"KFC-Jackson,CA",,38.345,-120.77065
"KFC-Kerman,CA",,36.73364,-120.06037
"KFC-King City,CA",,36.20367,-121.13761
"KFC-La Canada Flintridge,CA",,34.21714,-118.22716
"KFC-La Habra,CA",,33.91921,-117.96751
"KFC-La Habra,CA",,33.93549,-117.9329
"KFC-La Mesa,CA",,32.77643,-117.01702
"KFC-La Mirada,CA",,33.91684,-118.03406
"KFC-La Puente,CA",,34.03634,-117.95023
"KFC-Ladera Ranch,CA",,33.56268,-117.62934
"KFC-Laguna Beach,CA",,33.53779,-117.77991
"KFC-Laguna Niguel,CA",,33.52686,-117.71682
"KFC-Lake Elsinore,CA",,33.68282,-117.36827
"KFC-Lake Elsinore,CA",,33.66434,-117.29882
"KFC-Lake Forest,CA",,33.65482,-117.70183
"KFC-Lakeside,CA",,32.85569,-116.93259
"KFC-Lakewood,CA",,33.8476,-118.12528
"KFC-Lamont,CA",,35.25866,-118.91419
"KFC-Lancaster,CA",,34.67394,-118.14805
"KFC-Lancaster,CA",,34.7038,-118.1472
"KFC-Lancaster,CA",,34.68974,-118.09727
"KFC-Lathrop,CA",,37.81168,-121.29224
"KFC-Lemon Grove,CA",,32.7427,-117.04604
"KFC-Lincoln,CA",,38.8885,-121.2932
"KFC-Livermore,CA",,37.68179,-121.77148
"KFC-Livermore,CA",,37.71119,-121.72331
"KFC-Lockeford,CA",,38.15565,-121.15491
"KFC-Lodi,CA",,38.12984,-121.28336
"KFC-Lodi,CA",,38.11544,-121.27733
"KFC-Loma Linda,CA",,34.06322,-117.26263
"KFC-Lomita,CA",,33.77855,-118.30967
"KFC-Lompoc,CA",,34.66115,-120.45793
"KFC-Long Beach,CA",,33.80449,-118.21449
"KFC-Long Beach,CA",,33.79003,-118.19088
"KFC-Long Beach,CA",,33.84088,-118.18457
"KFC-Long Beach,CA",,33.77544,-118.17191
"KFC-Long Beach,CA",,33.87449,-118.15211
"KFC-Long Beach,CA",,33.78269,-118.14578
"KFC-Long Beach,CA",,33.80993,-118.12502
"KFC-Los Angeles,CA",,34.04649,-118.46434
"KFC-Los Angeles,CA",,34.02572,-118.4312
"KFC-Los Angeles,CA",,33.9606,-118.41982
"KFC-Los Angeles,CA",,34.04516,-118.41937
"KFC-Los Angeles,CA",,34.04955,-118.37602
"KFC-Los Angeles,CA",,33.9772,-118.37068
